"NAME","COMPOSER","GENRE","LENGTH","Piano","Bass","Drum","Tenor Saxophone","Guitar","Flute","Baritone Saxophone","Keyboard","Percussion","Trumpet","Trombone","Alto Saxophone","Piccolo","Oboe","Clarinet","Bassoons","Horn","Tuba","Timpani","Cymbal","Triangle","Glockenspiel","Strings","Cornet","Harp","English Horn","Bass Clarinet","Piccolo Clarinet","Contrabassoon","Tambourine","Snare Drum","Tam-Tam","Bell","Continuo","Violin","Viola","Cello","Norwegian Fiddel","Harpsichord","Organ","Ophicleide","Sarrusophone","Xylophone","Castanets"
"Image","Tetsuya Ozawa Quartet","Jazz","7:41","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joyful, Joyful, We Adore Thee","K's Band","Jazz","4:30","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morning View","22 Project Band","Jazz","4:25","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Entertainer","HH Band","Jazz","3:08","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wolf","22 Project Band","Jazz","3:02","0","1","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lounge Away (Octet)","YOU Band","Jazz","3:37","1","1","1","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Bamboula, Op.75","Coleridge-Taylor, Samuel","Rhapsodies","10:00","0","1","1","0","0","2","0","0","0","2","3","0","1","2","2","2","4","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"España","Chabrier, Emmanuel","Rhapsodies","6:30","0","0","0","0","0","2","0","0","1","2","3","0","1","2","2","4","4","1","1","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"In a Summer Garden","Delius, Fredrick","Rhapsodies","15:00","0","0","0","0","0","3","0","0","1","2","3","0","0","2","2","3","4","1","1","0","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Italia, Op.11","Casella, Alfredo","Rhapsodies","20:00","0","1","0","0","0","3","0","0","0","4","3","0","0","3","2","3","4","1","1","1","1","1","1","0","2","0","1","1","1","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0"
