"NAME","COMPOSER","GENRE","LENGTH","Alphorn","Alto Saxophone","Baritone Saxophone","Bass","Bass Clarinet","Bassoons","Bell","Castanets","Celesta","Cello","Chimes","Clarinet","Continuo","Contrabassoon","Cornet","Cymbal","Drum","English Horn","Flute","Glockenspiel","Guitar","Harp","Harpsichord","Horn","Keyboard","Mandolin","Norwegian Fiddel","Oboe","Ophicleide","Organ","Percussion","Piano","Piccolo","Piccolo Clarinet","Sarrusophone","Snare Drum","Strings","Tambourine","Tam-Tam","Tenor Saxophone","Timpani","Triangle","Trombone","Trumpet","Tuba","Vibraphone","Viola","Violin","Xylophone"
"3 Pieces in the first position","Moffat, Alfred","Wedding Marches","3 Movements","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"4 Trios, Op.820","Beatty, Stephen W.","Trios","13:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"4th Blues","Trombini, Maurizio Massimo Jabres","Blues","3:00","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"A Hundred Blues","Harrington, Jeffrey Michael","Blues","1:00","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"A Hundred Blues Later","Harrington, Jeffrey Michael","Blues","4:00","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0"
"Abend-Sterne Walzer, Op.180","Lanner, Joseph","Waltzes","5:00","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0"
"Abschieds-Walzer No.6","Benzon, Siegfred","Waltzes","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adelaide","Orlandini, Giuseppe Maria","Operas","3 Acts","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
"Adriano in Siria","Ristori, Giovanni Alberto","Operas","3 Acts","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
"After Sunset","De Bleser, Werner J.E.","Pieces","7:00","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"Ah! Perfido, Op.65","Beethoven, Ludwig van","Arias","NA","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Alphornblues","Zintl, Frank","Blues","1 Piece","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"An Episcopal Fanfare","Pardini, James Christopher","Fanfares","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0"
"An Epithalamium","Lockhart, Charles","Wedding Music","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argenore","Von Bayreuth, Wilhelmine","Operas","NA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
"Armenian Roads","Manookian, Jeff","Pieces","10:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0"
"Auf stimmet die Saiten, BUXWV 116","Buxtehude, Dietrich","Wedding Music","NA","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0"
"Baroque Dances","Rondeau, Michel","Dances","4:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","1","0","0","0","0"
"Beguine in Ragtime","Boden. Andrew David","Beguines","1 Movement","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benediction No.1","Hood, Micah","Benedictus","NA","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benedictus","Zelenka, Jan Dismas","Benedictus","NA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Blues after Oscar Peterson","Gerber, Edward Enrico","Blues","7:00","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0","0","0"
"Blues comme l'enfer","Letort, Bruno","Blues","5:00","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0"
"Blues for Simone","Nehls, Ulrich","Blues","NA","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","0","0","4","4","0","0","0","0","0"
"Blues for Woodwinds","Tang, Elizabeth","Blues","NA","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Boulevard Blues","Simpson, Daniel Léo","Blues","2:30","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","3","2","0","0","0","0","0"
"Braut- und Ehren-Tantz","Albert, Heinrich","Wedding Music","NA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Braut-Tantz, IHA 5","Albert, Heinrich","Wedding Music","NA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bröllops Music","Roman, Johan Helmich","Wedding Music","11 Movements","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Bruremarsj fra Øre","Scandinavian Folk Tune","Wedding Marches","3:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
